Region,Mean_NDVI,Center_Lon,Center_Lat,Is_Bengaluru,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2
Region_393,,79.74830005519705,11.909316151103344,False,105,IND,India,27,Puducherry,394,Puducherry,District,District,,Pondicherry|Puduchcheri|Pondich̩ry
Region_448,0.0003435309973045822,79.22818711371299,11.146720099018577,False,105,IND,India,31,Tamil Nadu,449,Ariyalur,District,District,,
Region_449,,80.23495207417584,13.04808636861948,False,105,IND,India,31,Tamil Nadu,450,Chennai,District,District,,Madras
Region_450,,77.07196679623873,10.836771906232894,False,105,IND,India,31,Tamil Nadu,451,Coimbatore,District,District,,
Region_451,,79.4452285032152,11.525092972415543,False,105,IND,India,31,Tamil Nadu,452,Cuddalore,District,District,,
Region_452,,78.09742030740539,12.295583515889033,False,105,IND,India,31,Tamil Nadu,453,Dharmapuri,District,District,,Dharampuri
Region_453,,77.80498330785515,10.379260158336512,False,105,IND,India,31,Tamil Nadu,454,Dindigul,District,District,,Anna
Region_454,,77.446929532401,11.319382187814167,False,105,IND,India,31,Tamil Nadu,455,Erode,District,District,,Periyar
Region_455,,79.93615675192117,12.681306074067027,False,105,IND,India,31,Tamil Nadu,456,Kancheepuram,District,District,,
Region_458,,77.98956527869402,9.909971375903899,False,105,IND,India,31,Tamil Nadu,459,Madurai,District,District,,"Madura, Mathurai"
Region_459,,79.73608696338329,10.863691093005508,False,105,IND,India,31,Tamil Nadu,460,Nagapattinam,District,District,,
Region_462,0.002710360884749709,78.87775870110787,11.260483260477082,False,105,IND,India,31,Tamil Nadu,463,Perambalur,District,District,,
Region_460,0.0004545188884756389,78.12248315163521,11.305296147359345,False,105,IND,India,31,Tamil Nadu,461,Namakkal,District,District,,
Region_461,5.1756774277194345e-05,76.63281167845551,11.448384731421367,False,105,IND,India,31,Tamil Nadu,462,Nilgiris,District,District,,Nilgiri
